code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
STM US,STMICROELECTRONICS NV-NY SHS,0,180000,180000,0.0,0.85,0.85,NEW
6963 JP,ROHM CO LTD,500000,710000,210000,0.97,1.48,0.51,UP
NOK US,NOKIA CORP-SPON ADR,1200000,1700000,500000,1.22,1.69,0.47,UP
VSH US,VISHAY INTERTECHNOLOGY INC,552429,672429,120000,2.09,2.55,0.45999999999999996,UP
285A JP,KIOXIA HOLDINGS CORP,120000,135000,15000,3.52,3.91,0.3900000000000001,UP
LITE US,LUMENTUM HOLDINGS INC,55000,62000,7000,3.42,3.45,0.03000000000000025,UP
ENR GY,SIEMENS ENERGY AG,75000,0,-75000,0.84,0.0,-0.84,OUT
GOOGL US,ALPHABET INC-CL A(Alphabet公司),44000,0,-44000,0.96,0.0,-0.96,OUT
SNDK US,SANDISK CORP,38000,38000,0,3.94,4.13,0.18999999999999995,WEIGHT_CHANGE
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,270000,270000,0,0.84,0.98,0.14,WEIGHT_CHANGE
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),145000,145000,0,4.57,4.67,0.09999999999999964,WEIGHT_CHANGE
MRVL US,MARVELL TECHNOLOGY INC,200000,200000,0,3.51,3.58,0.07000000000000028,WEIGHT_CHANGE
WDC US,WESTERN DIGITAL CORP,57000,57000,0,1.94,2.01,0.06999999999999984,WEIGHT_CHANGE
SOI FP,S.O.I.T.E.C.,90000,90000,0,0.97,1.03,0.06000000000000005,WEIGHT_CHANGE
6223,旺矽,90000,90000,0,0.95,1.0,0.050000000000000044,WEIGHT_CHANGE
3017,奇鋐,215000,215000,0,1.11,1.16,0.04999999999999982,WEIGHT_CHANGE
4062 JP,IBIDEN CO LTD,275000,275000,0,2.2,2.24,0.040000000000000036,WEIGHT_CHANGE
5801 JP,FURUKAWA ELECTRIC CO LTD,100000,100000,0,1.93,1.97,0.040000000000000036,WEIGHT_CHANGE
6274,台燿,230000,230000,0,0.7,0.74,0.040000000000000036,WEIGHT_CHANGE
2308,台達電,307000,307000,0,1.39,1.42,0.030000000000000027,WEIGHT_CHANGE
3436 JP,SUMCO CORP,875400,875400,0,1.42,1.45,0.030000000000000027,WEIGHT_CHANGE
3711,日月光投控,1100000,1100000,0,1.25,1.28,0.030000000000000027,WEIGHT_CHANGE
