code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,91000,5.83
009150 KS,Samsung Electro-Mechanics co(009150 ks),71000,4.86
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),145000,4.67
SNDK US,SANDISK CORP,38000,4.13
285A JP,KIOXIA HOLDINGS CORP,135000,3.91
MRVL US,MARVELL TECHNOLOGY INC,200000,3.58
LITE US,LUMENTUM HOLDINGS INC,62000,3.45
6981 JP,MURATA MANUFACTURING CO LTD,870000,3.36
IFX GY,INFINEON TECHNOLOGIES AG,501550,3.04
2454,聯發科,350000,3.0
BE US,BLOOM ENERGY CORP- A,170000,2.9
3037,欣興,1500000,2.83
2383,台光電,288000,2.63
VSH US,VISHAY INTERTECHNOLOGY INC,672429,2.55
6787 JP,MEIKO ELECTRONICS CO LTD,175000,2.41
5706 JP,Mitsui Mining ＆ Smelting Co,130000,2.3
4062 JP,IBIDEN CO LTD,275000,2.24
6997 JP,NIPPON CHEMI-CON CORP,1200000,2.15
WDC US,WESTERN DIGITAL CORP,57000,2.01
5801 JP,FURUKAWA ELECTRIC CO LTD,100000,1.97
CIEN US,CIENA CORP,52000,1.91
2330,台積電,400000,1.83
NOK US,NOKIA CORP-SPON ADR,1700000,1.69
ARM US,ARM HOLDINGS PLC,65518,1.6
5274,信驊,46000,1.56
6963 JP,ROHM CO LTD,710000,1.48
3436 JP,SUMCO CORP,875400,1.45
2308,台達電,307000,1.42
3711,日月光投控,1100000,1.28
7826 JP,FURUYA METAL CO LTD,374300,1.27
AIXA GY,AIXTRON SE,305000,1.27
6515,穎崴,80000,1.24
3017,奇鋐,215000,1.16
SOI FP,S.O.I.T.E.C.,90000,1.03
CRWD US,CROWDSTRIKE HOLDINGS INC - A,23000,1.02
6223,旺矽,90000,1.0
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,270000,0.98
NVDA US,NVIDIA CORP(輝達公司),75000,0.96
STM US,STMICROELECTRONICS NV-NY SHS,180000,0.85
COHR US,COHERENT INC,34000,0.84
603256 CH,GRACE FABRIC TECHNOLOGY CO-A,450000,0.78
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,60000,0.76
6274,台燿,230000,0.74
HOT GY,HOCHTIEF AG,20000,0.68
ORCL US,ORACLE CORP,50000,0.68
DDOG US,DATADOG INC - CLASS A,45000,0.67
GLW US,CORNING INC,56000,0.67
AXTI US,AXT INC,90000,0.57
2360,致茂,110000,0.53
7769,鴻勁,36000,0.51
