code,name,shares,weight
LITE US,LUMENTUM HOLDINGS INC,117000,6.14
SPCX US,SPACE EXPLORATION TECHN-CL A,550000,5.12
BE US,BLOOM ENERGY CORP- A,310000,5.01
3037,欣興,2600000,4.99
009150 KS,Samsung Electro-Mechanics co(009150 ks),70000,4.37
2383,台光電,400000,4.23
6981 JP,MURATA MANUFACTURING CO LTD,1350000,3.94
PANW US,PALO ALTO NETWORKS INC,150000,3.53
MU US,MICRON TECHNOLOGY INC,60000,3.48
STX US,SEAGATE TECHNOLOGY,60000,3.04
2454,聯發科,330000,2.98
MSFT US,MICROSOFT CORP(微軟公司),92000,2.92
3017,奇鋐,440000,2.88
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),130000,2.72
PLTR US,PALANTIR TECHNOLOGIES INC-A,225000,2.45
NVDA US,NVIDIA CORP(輝達公司),175000,2.32
285A JP,KIOXIA HOLDINGS CORP,110000,2.27
HOOD US,ROBINHOOD MARKETS INC - A,300120,2.16
NOW US,SERVICENOW INC,230000,2.06
000660 KS,SK HYNIX INC,25000,1.98
2303,聯電,7000000,1.97
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,334997,1.92
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,220000,1.89
2330,台積電,400000,1.88
INTC US,INTEL CORP,300000,1.83
4979,華星光,1510000,1.63
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),50000,1.55
992 HK,LENOVO GROUP LTD,6000000,1.55
TER US,TERADYNE INC,70000,1.45
NET US,CLOUDFLARE INC - CLASS A,70000,1.45
6997 JP,NIPPON CHEMI-CON CORP,1275100,1.35
6515,穎崴,100000,1.31
IFX GY,INFINEON TECHNOLOGIES AG,300000,1.18
SNDK US,SANDISK CORP,10000,0.98
CRCL US,CIRCLE INTERNET GROUP INC,160000,0.98
TSEM US,TOWER SEMICONDUCTOR LTD,68249,0.82
TWLO US,TWILIO INC - A,55000,0.8
5801 JP,FURUKAWA ELECTRIC CO LTD,500000,0.78
AEM US,AGNICO EAGLE MINES LTD,60000,0.74
4180 JP,APPIER GROUP INC,950000,0.59
NTRA US,NATERA INC,25000,0.54
AIXA GY,AIXTRON SE,139635,0.34
CRWD US,CROWDSTRIKE HOLDINGS INC - A,16754,0.25
